Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CMBG49-I,Copic Ciao,CMBG49-I,CIAO MRKR DUCK BLUE,EA,4511338010631,USD,3
CMBG96-I,Copic Ciao,CMBG96-I,CIAO MRKR BUSH,EA,4511338010648,USD,3
CMBV13-I,Copic Ciao,CMBV13-I,CIAO MRKR HYDRANGEA BLUE,EA,4511338010655,USD,3
CMBV17-I,Copic Ciao,CMBV17-I,CIAO MRKR DEEP REDDISH BLUE,EA,4511338010662,USD,3
CMBV23-I,Copic Ciao,CMBV23-I,CIAO MRKR GRAYISH LAVENDER,EA,4511338010679,USD,3
CMBV29-I,Copic Ciao,CMBV29-I,CIAO MRKR SLATE,EA,4511338010686,USD,3
CMBV31-I,Copic Ciao,CMBV31-I,CIAO MRKR PALE LAVENDER,EA,4511338010693,USD,3
CME11-I,Copic Ciao,CME11-I,CIAO MRKR BARELEY BEIGE,EA,4511338010709,USD,3
CME31-I,Copic Ciao,CME31-I,CIAO MRKR BRICK BEIGE,EA,4511338010716,USD,3
CME43-I,Copic Ciao,CME43-I,CIAO MRKR DULL IVORY,EA,4511338010723,USD,3
CME49-I,Copic Ciao,CME49-I,CIAO MRKR DARK BARK,EA,4511338010730,USD,3
CME50-I,Copic Ciao,CME50-I,CIAO MRKR EGG SHELL,EA,4511338010747,USD,3
CME53-I,Copic Ciao,CME53-I,CIAO MRKR RAW SILK,EA,4511338010754,USD,3
CME57-I,Copic Ciao,CME57-I,CIAO MRKR LIGHT WALNUT,EA,4511338010761,USD,3
CME71-I,Copic Ciao,CME71-I,CIAO MRKR CHAMPAGNE,EA,4511338010778,USD,3
CME77-I,Copic Ciao,CME77-I,CIAO MRKR MAROON,EA,4511338010785,USD,3
CME93-I,Copic Ciao,CME93-I,CIAO MRKR TEA ROSE,EA,4511338010792,USD,3
CME95-I,Copic Ciao,CME95-I,CIAO MRKR TEA ORANGE,EA,4511338010808,USD,3
CMG000-I,Copic Ciao,CMG000-I,CIAO MRKR PALE GREEN,EA,4511338010815,USD,3
CMG07-I,Copic Ciao,CMG07-I,CIAO MRKR NILE GREEN,EA,4511338010822,USD,3
CMG14-I,Copic Ciao,CMG14-I,CIAO MRKR APPLE GREEN,EA,4511338010839,USD,3
CMG28-I,Copic Ciao,CMG28-I,CIAO MRKR OCEAN GREEN,EA,4511338010846,USD,3
CMG85-I,Copic Ciao,CMG85-I,CIAO MRKR VERDIGRIS,EA,4511338010853,USD,3
CMG94-I,Copic Ciao,CMG94-I,CIAO MRKR GRAYISH OLIVE,EA,4511338010860,USD,3
CMR00-I,Copic Ciao,CMR00-I,CIAO MRKR PINKISH WHITE,EA,4511338010877,USD,3
CMR05-I,Copic Ciao,CMR05-I,CIAO MRKR SALMON RED,EA,4511338010884,USD,3
CMR11-I,Copic Ciao,CMR11-I,CIAO MRKR PALE CHERRY PINK,EA,4511338010891,USD,3
CMR17-I,Copic Ciao,CMR17-I,CIAO MRKR LIPSTICK ORANGE,EA,4511338010907,USD,3
CMR22-I,Copic Ciao,CMR22-I,CIAO MRKR LIGHT PRAWN,EA,4511338010914,USD,3
CMR35-I,Copic Ciao,CMR35-I,CIAO MRKR CORAL,EA,4511338010921,USD,3
CMR37-I,Copic Ciao,CMR37-I,CIAO MRKR CARMINE,EA,4511338010938,USD,3
CMR46-I,Copic Ciao,CMR46-I,CIAO MRKR STRONG RED,EA,4511338010945,USD,3
CMR85-I,Copic Ciao,CMR85-I,CIAO MRKR ROSE RED,EA,4511338010952,USD,3
CMRV000-I,Copic Ciao,CMRV000-I,CIAO MRKR PALE PURPLE,EA,4511338010969,USD,3
CMRV06-I,Copic Ciao,CMRV06-I,CIAO MRKR CERISE,EA,4511338010976,USD,3
CMRV13-I,Copic Ciao,CMRV13-I,CIAO MRKR TENDER PINK,EA,4511338010983,USD,3
CMRV34-I,Copic Ciao,CMRV34-I,CIAO MRKR DARK PINK,EA,4511338010990,USD,3
CMRV95-I,Copic Ciao,CMRV95-I,CIAO MRKR BABY BLOSSOMS,EA,4511338011003,USD,3
CMV000-I,Copic Ciao,CMV000-I,CIAO MRKR PALE HEATH,EA,4511338011010,USD,3
CMV06-I,Copic Ciao,CMV06-I,CIAO MRKR LAVENDER,EA,4511338011027,USD,3
CMV15-I,Copic Ciao,CMV15-I,CIAO MRKR MALLOW,EA,4511338011034,USD,3
CMV91-I,Copic Ciao,CMV91-I,CIAO MRKR PALE GRAPE,EA,4511338011041,USD,3
CMV95-I,Copic Ciao,CMV95-I,CIAO MRKR LIGHT GRAPE,EA,4511338011058,USD,3
CMW1-I,Copic Ciao,CMW1-I,CIAO MRKR WARM GRAY 1,EA,4511338011065,USD,3
CMW3-I,Copic Ciao,CMW3-I,CIAO MRKR WARM GRAY 3,EA,4511338011072,USD,3
CMW5-I,Copic Ciao,CMW5-I,CIAO MRKR WARM GRAY 5,EA,4511338011089,USD,3
CMW7-I,Copic Ciao,CMW7-I,CIAO MRKR WARM GRAY 7,EA,4511338011096,USD,3
CMY11-I,Copic Ciao,CMY11-I,CIAO MRKR PALE YELLOW,EA,4511338011102,USD,3
CMY15-I,Copic Ciao,CMY15-I,CIAO MRKR CADMIUM YELLOW,EA,4511338011119,USD,3
CMY21-I,Copic Ciao,CMY21-I,CIAO MRKR BUTTERCUP YELLOW,EA,4511338011126,USD,3
CMY28-I,Copic Ciao,CMY28-I,CIAO MRKR LIONET GOLD,EA,4511338011133,USD,3
CMY38-I,Copic Ciao,CMY38-I,CIAO MRKR HONEY,EA,4511338011140,USD,3
CMYG00-I,Copic Ciao,CMYG00-I,CIAO MRKR MIMOSA YELLOW,EA,4511338011157,USD,3
CMYG23-I,Copic Ciao,CMYG23-I,CIAO MRKR NEW LEAF,EA,4511338011164,USD,3
CMYG63-I,Copic Ciao,CMYG63-I,CIAO MRKR PEA GREEN,EA,4511338011171,USD,3
CMYG91-I,Copic Ciao,CMYG91-I,CIAO MRKR PUTTY,EA,4511338011188,USD,3
CMYG95-I,Copic Ciao,CMYG95-I,CIAO MRKR PALE OLIVE,EA,4511338011195,USD,3
CMYR16-I,Copic Ciao,CMYR16-I,CIAO MRKR APRICOT,EA,4511338011201,USD,3
CMYR23-I,Copic Ciao,CMYR23-I,CIAO MRKR YELLOW OCHRE,EA,4511338011218,USD,3
CMYR31-I,Copic Ciao,CMYR31-I,CIAO MRKR LT REDDISH YELLOW,EA,4511338011225,USD,3
CMYR61-I,Copic Ciao,CMYR61-I,CIAO MRKR SPRING ORANGE,EA,4511338011232,USD,3
CMYR68-I,Copic Ciao,CMYR68-I,CIAO MRKR ORANGE,EA,4511338011249,USD,3
CMB000-I,Copic Ciao,CMB000-I,CIAO MRKR PALE PORCELAIN BLUE,EA,4511338051207,USD,3
CMB18-I,Copic Ciao,CMB18-I,CIAO MRKR LAPIS LAZULI,EA,4511338051214,USD,3
CMB28-I,Copic Ciao,CMB28-I,CIAO MRKR ROYAL BLUE,EA,4511338051221,USD,3
CMB99-I,Copic Ciao,CMB99-I,CIAO MRKR AGATE,EA,4511338051238,USD,3
CMBG000-I,Copic Ciao,CMBG000-I,CIAO MRKR PALE AQUA,EA,4511338051245,USD,3
CMBG13-I,Copic Ciao,CMBG13-I,CIAO MRKR MINT GREEN,EA,4511338051252,USD,3
CMBG72-I,Copic Ciao,CMBG72-I,CIAO MRKR ICE OCEAN,EA,4511338051269,USD,3
CMBV000-I,Copic Ciao,CMBV000-I,CIAO MRKR IRIDESCENT MAUVE,EA,4511338051276,USD,3
CMBV25-I,Copic Ciao,CMBV25-I,CIAO MRKR GRAYISH VIOLET,EA,4511338051283,USD,3
CMC0-I,Copic Ciao,CMC0-I,CIAO MRKR COOL GRAY C0,EA,4511338051290,USD,3
CMC2-I,Copic Ciao,CMC2-I,CIAO MRKR COOL GRAY C2,EA,4511338051306,USD,3
